Technique,How to,Importance / additional info
Grab,Press grab while holding shield.,Allows you to grab out of shield. Note that when grabbing out of shield after your shield has been hit your grab will be delayed by 4 frames.
Shield drop,Release the shield button.,"It takes 11 frames to drop your shield, the first 5 frames of shield drop will trigger a parry if an active hitbox is close enough to your character."
Up smash,Input an up smash while shielding.,Jr's up smash is frame 7 and can kill your opponent. Good for punishing unsafe attacks on your shield.
Up b,Input up b while shielding.,"This isn't recommended for Jr, but it can be used as a hard call out if your opponent commits to options too early or is otherwise predictable."
Item toss,Press a direction on the C stick while shielding.,Grants fast ranged options out of shield. This increases the strength of holding a MK.
,,
**Actions On Ledge**,,
Neutral get up,Press forward while on ledge.,Most I frames but you go no distance.
Roll,Input shield while on ledge.,Easier to react and punish but could avoid opponents standing at the ledge.
Jump,Input jump while on ledge.,Most vulnerable option but we get to act quickly.
Ledge drop,Press down or backwards while on ledge.,Has the most mixup potential with fair/dair/tomahawk/side b but exhausts double jump early.
Get up attack,Input attack while on ledge.,"Jr can be attacked while doing this getup attack, even being spiked offstage."
